Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Spencer Dinwiddie,8,27,BRK,3,3,21.3,2.0,5.3,0.375,0.7,2.3,0.28600000000000003,1.3,3.0,0.444,0.43799999999999994,2.0,2.0,1.0,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7,10.1,0.536,0.43799999999999994,0.375,0.0,21.5,11.4,17.4,1.5,1.3,21.2,16.0,0.0,0.1,0.1,0.039,-3.4,2.0,-1.4,0.0
Donte DiVincenzo,8,24,MIL,28,28,26.1,3.7,8.9,0.419,2.0,4.9,0.401,1.8,4.0,0.441,0.53,0.5,0.8,0.619,1.0,3.4,4.5,2.8,1.2,0.2,1.2,1.5,9.9,12.7,0.536,0.552,0.085,4.3,13.5,9.1,13.4,2.2,0.7,11.7,16.7,0.6,0.8,1.4,0.09,-0.3,-0.2,-0.4,0.3
Luguentz Dort,8,21,OKC,27,27,29.6,4.3,10.6,0.409,1.9,5.7,0.32299999999999995,2.5,4.9,0.511,0.49700000000000005,2.0,2.6,0.746,0.7,2.8,3.5,1.4,0.9,0.3,1.5,2.5,12.5,9.5,0.531,0.542,0.248,2.5,9.8,6.2,7.3,1.5,0.8,11.4,19.4,-0.3,0.7,0.4,0.024,-3.3,-1.2,-4.5,-0.5
Damyean Dotson,8,26,CLE,24,6,20.4,3.0,7.2,0.41,1.1,3.8,0.28300000000000003,1.9,3.4,0.556,0.486,0.8,1.1,0.6920000000000001,0.2,1.7,1.8,2.2,0.5,0.1,0.8,0.9,7.8,9.9,0.504,0.532,0.15,0.9,9.4,5.0,16.0,1.1,0.6,9.8,17.9,0.0,0.2,0.2,0.02,-2.0,-1.2,-3.2,-0.2
PJ Dozier,8,24,DEN,17,0,19.4,2.6,5.5,0.46799999999999997,0.9,2.2,0.405,1.7,3.4,0.509,0.5479999999999999,1.1,1.5,0.72,0.9,3.2,4.1,1.4,0.5,0.6,0.8,1.7,7.1,13.6,0.5760000000000001,0.39399999999999996,0.266,5.5,18.6,12.0,9.3,1.3,2.9,11.0,15.5,0.4,0.3,0.7,0.10800000000000001,-0.3,-0.4,-0.8,0.1
Anthony Edwards,8,19,MIN,29,12,28.2,5.4,14.2,0.38299999999999995,1.8,5.7,0.319,3.6,8.5,0.42700000000000005,0.44799999999999995,1.9,2.3,0.8059999999999999,0.6,3.1,3.7,2.4,0.7,0.3,1.6,1.5,14.6,10.5,0.479,0.40299999999999997,0.163,2.3,12.4,7.0,13.1,1.2,1.0,9.4,25.1,-0.8,0.4,-0.4,-0.022000000000000002,-2.5,-2.6,-5.1,-0.6
Carsen Edwards,8,22,BOS,13,1,10.3,1.8,4.2,0.436,0.8,2.3,0.33299999999999996,1.1,1.9,0.56,0.527,0.5,0.7,0.778,0.2,0.8,1.0,0.4,0.3,0.1,0.2,1.2,5.0,12.2,0.551,0.545,0.16399999999999998,1.6,9.4,5.4,5.6,1.5,0.7,3.3,19.5,0.2,0.1,0.3,0.096,-2.8,-1.6,-4.3,-0.1
Wayne Ellington,8,33,DET,21,18,22.9,3.7,8.0,0.456,2.7,6.2,0.43799999999999994,1.0,1.9,0.513,0.624,0.6,0.8,0.75,0.3,1.6,2.0,1.1,0.4,0.2,0.7,1.5,10.6,12.8,0.633,0.769,0.095,1.6,8.3,4.8,8.0,0.8,0.8,7.4,17.1,0.7,0.2,0.9,0.092,1.9,-1.9,0.0,0.2
Dante Exum,8,25,CLE,6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.5329999999999999,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,6.1,0.428,0.423,0.077,1.8,14.8,8.1,15.5,1.7,1.6,20.7,12.5,-0.1,0.1,-0.1,-0.023,-4.8,1.7,-3.1,0.0
Terrance Ferguson,8,22,PHI,7,0,3.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.4,0.0,-5.9,0.0,1.0,0.0,0.0,4.4,2.3,9.7,0.0,0.0,25.0,7.0,-0.1,0.0,-0.1,-0.133,-10.3,-3.0,-13.3,-0.1
Bryn Forbes,8,27,MIL,28,5,18.4,3.5,7.2,0.48,2.0,4.3,0.47100000000000003,1.4,2.9,0.494,0.621,0.5,0.7,0.7,0.2,1.0,1.1,0.5,0.3,0.0,0.7,1.2,9.5,11.8,0.629,0.599,0.099,1.1,5.4,3.3,3.4,0.6,0.0,8.3,18.7,0.6,0.2,0.8,0.076,0.0,-2.7,-2.7,-0.1
Langston Galloway,8,29,PHO,22,0,11.1,1.5,3.3,0.466,0.9,1.9,0.47600000000000003,0.6,1.4,0.452,0.603,0.7,0.7,1.0,0.2,0.9,1.1,0.7,0.2,0.0,0.3,0.6,4.7,13.2,0.65,0.575,0.21899999999999997,1.9,8.9,5.4,8.6,0.8,0.0,8.0,15.9,0.5,0.2,0.7,0.13,0.8,-0.7,0.0,0.1
Shai Gilgeous-Alexander,8,22,OKC,22,22,33.7,7.9,15.6,0.503,1.9,4.9,0.38299999999999995,6.0,10.8,0.557,0.563,5.0,6.3,0.784,0.7,4.7,5.4,6.5,0.8,0.6,2.9,2.0,22.5,21.6,0.612,0.311,0.40399999999999997,2.1,14.4,8.4,33.0,1.2,1.7,13.5,27.4,1.7,0.8,2.4,0.156,3.6,0.0,3.5,1.0
Eric Gordon,8,32,HOU,22,10,29.4,6.2,13.5,0.46299999999999997,2.7,7.8,0.35100000000000003,3.5,5.7,0.616,0.564,3.5,4.2,0.848,0.3,1.9,2.2,2.7,0.5,0.5,1.9,1.5,18.7,16.8,0.612,0.578,0.311,1.1,7.0,4.0,15.3,0.9,1.5,11.1,24.9,1.0,0.6,1.6,0.115,2.1,-1.0,1.1,0.5
Javonte Green,8,27,BOS,18,1,15.3,1.7,3.4,0.5,0.4,1.2,0.33299999999999996,1.3,2.3,0.585,0.556,1.1,1.6,0.69,0.9,1.6,2.5,0.4,0.9,0.1,0.6,1.2,4.9,12.7,0.595,0.33899999999999997,0.46799999999999997,6.7,11.6,9.1,4.0,3.0,0.7,12.8,13.3,0.3,0.3,0.6,0.111,-1.4,1.0,-0.4,0.1
Josh Green,8,20,DAL,17,5,12.5,1.0,2.1,0.47200000000000003,0.1,0.7,0.16699999999999998,0.9,1.4,0.625,0.5,0.4,0.6,0.545,0.7,1.6,2.3,0.6,0.2,0.1,0.6,0.9,2.5,6.4,0.514,0.33299999999999996,0.306,6.2,14.1,10.1,6.2,0.9,0.4,21.2,10.7,-0.1,0.1,0.0,0.005,-4.6,-0.6,-5.2,-0.2
Tim Hardaway Jr.,8,28,DAL,27,17,30.6,5.9,13.3,0.439,3.1,7.8,0.39299999999999996,2.8,5.5,0.503,0.5539999999999999,1.9,2.4,0.785,0.2,3.0,3.2,1.6,0.7,0.1,0.9,1.6,16.7,14.2,0.579,0.586,0.18100000000000002,0.8,10.7,5.7,8.0,1.1,0.5,6.0,22.0,0.9,0.3,1.2,0.067,1.1,-2.0,-0.9,0.2
