Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Dorian Finney-Smith,4,27,DAL,19,19,30.7,3.3,7.4,0.45,1.9,5.1,0.381,1.4,2.3,0.605,0.5820000000000001,0.5,0.6,0.833,1.5,3.3,4.8,1.2,1.0,0.4,0.6,2.7,9.1,11.0,0.595,0.693,0.086,5.2,11.9,8.6,5.4,1.6,1.3,7.6,11.8,0.7,0.3,1.0,0.085,-0.3,-0.6,-0.9,0.2
Wenyen Gabriel,4,23,NOP,3,0,3.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.33299999999999996,0.0,11.1,33.3,22.2,11.4,0.0,0.0,0.0,12.8,0.0,0.0,0.0,-0.17800000000000002,-7.1,-5.6,-12.7,0.0
Daniel Gafford,4,22,CHI,23,11,14.3,2.1,3.2,0.6709999999999999,0.0,0.0,0.0,2.1,3.2,0.6709999999999999,0.6709999999999999,1.1,1.6,0.6759999999999999,1.4,1.9,3.3,0.7,0.5,1.3,0.8,2.0,5.3,17.6,0.6890000000000001,0.0,0.507,11.3,14.2,12.8,6.7,1.6,7.8,16.8,13.8,0.7,0.5,1.2,0.172,-1.4,1.6,0.2,0.2
Danilo Gallinari,4,32,ATL,16,1,19.7,3.0,7.6,0.397,1.6,4.3,0.377,1.4,3.3,0.423,0.504,3.1,3.3,0.9420000000000001,0.2,2.7,2.9,1.1,0.2,0.1,1.2,1.9,10.7,12.5,0.594,0.57,0.43,1.0,14.6,7.9,8.6,0.5,0.5,11.7,22.0,0.4,0.2,0.5,0.083,-0.4,-2.2,-2.6,-0.1
Rudy Gay,4,34,SAS,26,0,22.0,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.45899999999999996,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2,13.9,0.524,0.434,0.16699999999999998,4.2,20.6,12.2,10.1,1.5,1.9,9.8,23.0,-0.1,0.8,0.7,0.057999999999999996,-0.6,-0.7,-1.3,0.1
Taj Gibson,4,35,NYK,8,0,13.6,1.3,2.5,0.5,0.1,0.6,0.2,1.1,1.9,0.6,0.525,0.4,0.8,0.5,1.4,1.8,3.1,0.5,0.3,0.4,0.3,1.9,3.0,10.6,0.53,0.25,0.3,10.8,13.2,12.0,5.2,0.9,2.7,8.1,10.0,0.1,0.1,0.3,0.11699999999999999,-3.1,0.2,-2.9,0.0
Anthony Gill,4,28,WAS,10,1,6.5,0.3,1.0,0.3,0.1,0.7,0.14300000000000002,0.2,0.3,0.667,0.35,0.3,0.4,0.75,0.3,1.6,1.9,0.3,0.3,0.2,0.3,0.3,1.0,7.9,0.425,0.7,0.4,4.7,26.7,15.3,5.7,2.1,2.7,20.3,9.4,-0.1,0.1,0.0,0.019,-4.2,-0.1,-4.3,0.0
Aaron Gordon,4,25,ORL,19,19,29.1,4.8,11.2,0.42700000000000005,1.6,4.4,0.369,3.2,6.8,0.465,0.5,2.6,4.2,0.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2.0,13.8,14.9,0.528,0.39399999999999996,0.376,6.0,20.4,12.9,22.5,1.2,2.6,17.6,23.3,-0.1,0.6,0.6,0.05,0.5,0.1,0.6,0.4
Draymond Green,4,30,GSW,24,24,29.0,2.0,5.4,0.36200000000000004,0.3,1.8,0.18600000000000003,1.6,3.6,0.44799999999999995,0.392,1.0,1.4,0.6759999999999999,0.6,5.0,5.6,8.3,1.4,0.6,2.6,3.1,5.2,10.3,0.431,0.331,0.262,2.1,17.9,10.2,36.2,2.2,1.9,30.3,12.7,-0.1,1.1,1.0,0.068,-3.3,2.3,-1.1,0.2
JaMychal Green,4,30,DEN,24,3,21.3,3.3,7.5,0.441,1.7,4.0,0.42700000000000005,1.6,3.5,0.45799999999999996,0.556,1.1,1.3,0.8440000000000001,1.7,4.5,6.3,1.0,0.6,0.3,1.1,2.8,9.4,14.6,0.585,0.536,0.179,9.0,24.2,16.6,6.5,1.4,1.3,11.9,18.6,0.7,0.6,1.2,0.11599999999999999,0.3,-2.0,-1.7,0.0
Jeff Green,4,34,BRK,30,13,26.0,3.5,6.9,0.505,1.6,3.7,0.42700000000000005,1.9,3.2,0.594,0.619,1.2,1.5,0.8220000000000001,0.5,3.3,3.7,1.4,0.7,0.3,0.8,2.0,9.7,12.2,0.647,0.534,0.218,2.1,13.3,8.1,7.2,1.2,0.8,9.6,13.9,1.2,0.4,1.6,0.098,-0.4,-1.0,-1.4,0.1
