Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Trent Forrest,5,22,UTA,4,0,3.3,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.5,0.0,0.0,0.5,0.5,9.2,0.34700000000000003,1.0,1.0,0.0,7.8,4.1,9.0,7.5,0.0,0.0,9.5,0.0,0.0,0.0,0.128,-8.5,7.1,-1.3,0.0
De'Aaron Fox,5,23,SAC,26,26,33.1,8.4,17.7,0.47600000000000003,1.8,5.4,0.34299999999999997,6.6,12.3,0.534,0.528,4.5,6.6,0.69,0.7,2.6,3.3,6.8,1.2,0.5,3.1,2.7,23.2,19.9,0.564,0.304,0.37200000000000005,2.3,8.7,5.5,33.0,1.8,1.3,13.1,30.6,1.4,0.1,1.5,0.081,2.8,-1.6,1.2,0.7
Tim Frazier,5,30,MEM,3,0,11.0,0.7,2.7,0.25,0.0,0.7,0.0,0.7,2.0,0.33299999999999996,0.25,0.0,0.0,0.0,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3,0.3,0.25,0.25,0.0,0.0,13.7,6.7,25.8,1.5,0.0,27.3,14.2,-0.1,0.0,-0.1,-0.12,-10.9,-2.6,-13.6,-0.1
Markelle Fultz,5,22,ORL,8,8,26.9,5.1,13.0,0.39399999999999996,0.5,2.0,0.25,4.6,11.0,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9,12.2,0.45799999999999996,0.154,0.183,2.3,10.1,6.0,32.4,1.8,0.8,13.8,25.8,-0.2,0.2,0.0,-0.002,-2.9,-1.7,-4.6,-0.1
Darius Garland,5,21,CLE,21,18,32.3,6.4,14.2,0.452,1.7,4.1,0.40700000000000003,4.8,10.1,0.469,0.51,1.3,1.5,0.903,0.5,1.8,2.2,5.3,1.0,0.1,2.5,2.4,15.9,12.9,0.5329999999999999,0.28800000000000003,0.10400000000000001,1.6,6.3,3.8,27.0,1.4,0.4,14.3,23.1,0.2,0.2,0.4,0.027999999999999997,-0.2,-1.7,-2.0,0.0
Brandon Goodwin,5,25,ATL,22,0,12.7,1.5,4.6,0.324,0.6,2.4,0.26899999999999996,0.9,2.3,0.38,0.392,0.8,1.1,0.708,0.1,1.1,1.2,2.0,0.5,0.0,0.5,1.0,4.4,8.1,0.431,0.51,0.235,1.2,9.1,5.2,21.9,1.7,0.0,9.6,18.9,-0.1,0.2,0.0,0.006,-3.2,-0.1,-3.4,-0.1
Devonte' Graham,5,25,CHO,25,25,32.8,4.4,12.4,0.35200000000000004,2.8,8.1,0.34700000000000003,1.6,4.3,0.361,0.465,2.2,2.8,0.775,0.6,2.4,3.0,5.7,1.0,0.0,1.4,1.5,13.7,12.1,0.503,0.652,0.22899999999999998,1.8,8.1,4.9,24.2,1.5,0.0,9.3,19.5,0.7,0.5,1.2,0.071,-0.5,-1.4,-1.9,0.0
Kyle Guy,5,23,SAC,10,0,7.9,0.9,3.2,0.281,0.4,1.6,0.25,0.5,1.6,0.313,0.344,0.7,0.8,0.875,0.3,0.9,1.2,1.3,0.4,0.0,0.1,0.5,2.9,11.8,0.408,0.5,0.25,4.1,12.6,8.3,21.5,2.4,0.0,2.7,19.7,0.0,0.0,0.0,0.028999999999999998,-2.1,-0.8,-3.0,0.0
Ashton Hagans,5,21,MIN,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.35200000000000004,-13.8,-7.9,-21.7,0.0
Tyrese Haliburton,5,20,SAC,25,2,29.4,4.8,9.6,0.498,2.3,5.2,0.44299999999999995,2.4,4.3,0.565,0.619,0.6,0.7,0.8240000000000001,1.0,2.6,3.6,5.2,1.2,0.6,1.6,1.2,12.4,17.5,0.629,0.5479999999999999,0.071,3.7,9.6,6.6,24.9,2.0,1.7,14.3,16.7,1.6,0.2,1.7,0.114,2.9,-0.7,2.3,0.8
R.J. Hampton,5,19,DEN,21,0,8.6,0.9,2.2,0.40399999999999997,0.2,0.8,0.313,0.7,1.5,0.452,0.457,0.2,0.3,0.667,0.4,1.5,1.9,0.5,0.2,0.1,0.5,0.8,2.2,7.3,0.473,0.34,0.128,5.6,19.6,12.6,7.2,1.4,1.1,16.8,14.4,-0.1,0.2,0.0,0.01,-4.8,-0.9,-5.6,-0.2
Jared Harper,5,23,NYK,2,0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-11.9,0.532,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,34.3,-0.1,0.0,0.0,-0.467,-15.0,-8.5,-23.5,0.0
Killian Hayes,5,19,DET,7,7,21.1,1.9,6.7,0.27699999999999997,0.7,2.9,0.25,1.1,3.9,0.29600000000000004,0.33,0.1,0.3,0.5,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6,-1.4,0.33399999999999996,0.426,0.043,0.7,5.5,3.0,24.2,0.7,0.0,26.2,19.0,-0.6,0.0,-0.5,-0.17600000000000002,-9.3,-4.2,-13.6,-0.4
