Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lou Williams,PG,34,LAC,28,3,22.4,4.4,10.4,0.423,1.1,2.8,0.38,3.3,7.6,0.439,0.474,2.5,2.9,0.854,0.4,2,2.4,3.9,0.8,0.1,1.5,1,12.4
Patrick Williams,PF,19,CHI,26,26,27.7,3.7,8.1,0.455,0.9,2.2,0.397,2.8,5.9,0.477,0.509,1.8,2.3,0.797,0.9,3.7,4.6,1.1,0.7,0.7,1.5,2.3,10.1
Robert Williams,C,23,BOS,21,0,15.1,2.7,3.7,0.727,0,0,0,2.7,3.6,0.737,0.727,0.8,1.1,0.667,2.2,3.1,5.3,0.8,1,1.1,1,1.6,6.1
Zion Williamson,PF,20,NOP,27,27,32.6,9.6,15.6,0.618,0.2,0.6,0.375,9.4,15,0.627,0.625,5.6,7.7,0.718,2.4,4.4,6.8,3.1,1,0.7,2.3,2.6,25
D.J. Wilson,PF,24,MIL,10,0,9.4,1.4,3.7,0.378,0.8,2.3,0.348,0.6,1.4,0.429,0.486,0.1,0.2,0.5,0.3,1.9,2.2,0.3,0.1,0.3,0.4,1.2,3.7
Dylan Windler,SF,24,CLE,15,0,17.5,2.1,4.3,0.477,0.9,2.8,0.31,1.2,1.5,0.783,0.577,1,1.1,0.882,0.7,3,3.7,1.2,0.6,0.5,1,1.3,6
Cassius Winston,PG,22,WAS,6,0,7.3,0.7,1.7,0.4,0.5,1.2,0.429,0.2,0.5,0.333,0.55,0.3,0.3,1,0,0.7,0.7,1,0,0.2,0.2,0.7,2.2
James Wiseman,C,19,GSW,20,16,21,4.9,9.8,0.503,0.5,1.1,0.409,4.5,8.7,0.514,0.526,1.9,3.1,0.623,1.5,4.6,6.1,0.7,0.4,1.3,1.6,3.2,12.2
Christian Wood,C,25,HOU,17,17,31.2,8.8,15.7,0.558,1.9,4.5,0.421,6.9,11.2,0.613,0.618,2.6,3.8,0.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22
Robert Woodard,SF,21,SAC,6,0,2.8,1,1.8,0.545,0.2,0.5,0.333,0.8,1.3,0.625,0.591,0,0.3,0,0.5,0.8,1.3,0,0,0,0.2,0,2.2
Delon Wright,SG,28,DET,28,23,29.4,3.7,8.1,0.456,0.9,2.4,0.353,2.9,5.7,0.5,0.509,2.2,2.8,0.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.5
Thaddeus Young,PF,32,CHI,23,0,25.7,5.1,8.7,0.587,0.2,0.9,0.238,4.9,7.8,0.628,0.6,0.7,1.5,0.5,2.4,3.4,5.8,4.4,1.4,0.5,2,2.9,11.2
Trae Young,PG,22,ATL,26,26,34.7,7.6,17.7,0.429,2.3,6.2,0.369,5.3,11.5,0.462,0.493,9,10.2,0.887,0.7,3.2,3.8,9.3,0.8,0.3,4.3,2,26.5
Cody Zeller,C,28,CHO,15,12,24.1,4.2,8,0.525,0.2,1.1,0.188,4,6.9,0.577,0.538,1.5,1.9,0.759,2.6,5.4,8,2.5,0.7,0.6,0.9,2.5,10.1
Ivica Zubac,C,23,LAC,30,1,19.5,3.2,4.7,0.669,0,0,0,3.2,4.7,0.674,0.669,2,2.4,0.845,2.3,4.4,6.6,1.1,0.4,0.8,1,2.6,8.3
