Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Udoka Azubuike,0,21,UTA,12,0,4.1,0.3,0.6,0.5710000000000001,0.0,0.0,0.0,0.3,0.6,0.5710000000000001,0.5710000000000001,0.3,0.5,0.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0,10.6,0.622,0.0,0.857,9.1,18.6,14.1,0.0,1.0,6.5,23.7,11.1,0.0,0.1,0.1,0.114,-5.5,1.2,-4.3,0.0
Mo Bamba,0,22,ORL,13,0,8.7,2.2,4.2,0.519,0.3,1.2,0.267,1.8,3.0,0.615,0.556,0.2,0.4,0.6,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8,23.4,0.56,0.278,0.09300000000000001,14.1,31.6,22.5,6.3,0.9,8.0,6.6,22.7,0.2,0.2,0.4,0.166,2.0,0.3,2.3,0.1
Aron Baynes,0,34,TOR,25,24,18.8,2.4,5.8,0.41100000000000003,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1.0,0.3,0.3,0.8,2.5,5.6,8.4,0.46299999999999997,0.37,0.062,8.4,23.9,15.9,7.5,0.7,1.7,11.8,15.4,-0.1,0.4,0.3,0.031,-4.3,-1.4,-5.7,-0.4
Jordan Bell,0,26,WAS,3,1,16.7,1.7,5.0,0.33299999999999996,0.0,0.7,0.0,1.7,4.3,0.385,0.33299999999999996,0.0,0.0,0.0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3,8.0,0.33299999999999996,0.133,0.0,10.1,23.9,16.8,13.3,0.9,5.2,16.7,14.9,-0.1,0.1,0.0,-0.037000000000000005,-5.1,-1.2,-6.3,-0.1
Khem Birch,0,28,ORL,29,0,21.8,2.5,4.8,0.514,0.1,0.4,0.25,2.4,4.4,0.539,0.525,1.6,2.1,0.742,2.8,3.2,6.0,1.2,0.7,0.7,0.7,1.7,6.7,16.1,0.5770000000000001,0.086,0.44299999999999995,12.6,15.9,14.2,7.8,1.5,3.0,10.2,12.6,1.2,0.7,1.9,0.147,-0.8,-0.4,-1.2,0.1
Goga Bitadze,0,21,IND,13,0,9.5,1.7,2.9,0.579,0.2,0.9,0.16699999999999998,1.5,2.0,0.769,0.605,0.7,0.9,0.75,0.7,1.5,2.2,0.2,0.2,1.1,0.3,1.8,4.2,18.3,0.635,0.316,0.316,8.1,17.5,12.9,3.5,1.2,9.8,8.5,16.5,0.2,0.2,0.4,0.17300000000000001,-2.1,2.2,0.1,0.1
Bismack Biyombo,0,28,CHO,26,16,22.5,2.7,4.6,0.58,0.0,0.0,0.0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1,12.6,0.569,0.008,0.395,10.2,17.4,13.8,8.0,0.5,5.5,14.1,11.8,0.6,0.6,1.2,0.099,-2.4,-0.5,-2.9,-0.1
Marques Bolden,0,22,CLE,6,0,4.8,0.2,0.5,0.33299999999999996,0.0,0.0,0.0,0.2,0.5,0.33299999999999996,0.33299999999999996,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,13.4,0.537,0.0,2.667,11.1,11.9,11.5,0.0,3.4,6.3,23.5,12.6,0.0,0.0,0.0,0.061,-3.4,0.6,-2.8,0.0
Chris Boucher,0,28,TOR,28,0,23.4,4.8,9.0,0.528,1.6,3.6,0.441,3.1,5.4,0.5870000000000001,0.617,2.5,3.3,0.75,2.0,4.8,6.8,1.0,0.5,2.1,0.7,2.7,13.6,23.4,0.65,0.405,0.365,9.0,23.5,16.0,7.0,1.0,9.2,6.1,20.3,2.1,1.0,3.1,0.226,3.5,0.3,3.8,1.0
Tony Bradley,0,23,PHI,10,1,11.7,1.9,3.6,0.528,0.0,0.1,0.0,1.9,3.5,0.5429999999999999,0.528,0.3,0.5,0.6,2.1,2.9,5.0,0.6,0.3,0.6,0.1,1.1,4.1,20.3,0.537,0.027999999999999997,0.139,20.4,26.3,23.4,7.3,1.2,4.6,2.6,14.1,0.3,0.2,0.5,0.207,1.9,-0.6,1.3,0.1
