Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Paul George,6,30,LAC,20,20,34.0,8.4,16.6,0.508,3.8,7.9,0.478,4.7,8.7,0.534,0.621,3.8,4.2,0.905,0.7,5.6,6.2,5.5,1.2,0.5,3.6,2.3,24.4,23.2,0.662,0.474,0.254,2.2,17.8,10.2,25.7,1.7,1.2,16.4,28.6,1.8,0.8,2.6,0.185,5.7,-0.4,5.4,1.3
Jerami Grant,6,26,DET,28,28,36.3,7.9,17.8,0.44299999999999995,2.6,6.6,0.387,5.3,11.2,0.47600000000000003,0.515,5.4,6.1,0.883,0.8,4.4,5.3,2.9,0.8,1.2,1.7,2.8,23.8,18.7,0.579,0.373,0.34299999999999997,2.4,14.3,8.1,14.2,1.1,3.1,7.7,26.5,1.9,0.9,2.7,0.13,3.2,-0.6,2.6,1.1
Danny Green,6,33,PHI,29,29,28.4,3.1,7.7,0.401,2.2,5.8,0.375,0.9,1.9,0.48100000000000004,0.5429999999999999,0.3,0.5,0.7140000000000001,1.0,2.7,3.7,1.7,1.1,0.7,1.4,1.7,8.7,9.7,0.55,0.757,0.063,3.9,10.0,7.1,8.0,1.8,2.3,14.9,13.7,0.1,0.9,1.0,0.061,-1.1,-0.1,-1.2,0.2
Josh Hall,6,20,OKC,7,0,7.3,0.6,2.6,0.222,0.1,1.1,0.125,0.4,1.4,0.3,0.25,0.4,1.0,0.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7,-2.3,0.285,0.444,0.389,2.1,16.1,9.2,18.6,0.0,0.0,15.9,21.3,-0.2,0.0,-0.2,-0.19699999999999998,-10.6,-3.7,-14.4,-0.2
Maurice Harkless,6,27,MIA,10,3,10.9,0.4,1.0,0.4,0.4,0.8,0.5,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2,4.6,0.551,0.8,0.2,1.1,7.8,4.6,8.5,0.9,2.8,15.5,5.3,0.0,0.1,0.1,0.052000000000000005,-3.1,0.6,-2.5,0.0
Joe Harris,6,29,BRK,30,26,30.9,5.5,10.5,0.529,3.3,6.6,0.495,2.3,3.9,0.586,0.685,0.5,0.8,0.696,0.6,2.9,3.5,1.9,0.5,0.2,0.8,2.4,14.9,14.9,0.688,0.631,0.073,2.3,9.9,6.3,8.3,0.8,0.6,7.2,16.3,2.1,0.3,2.4,0.12300000000000001,2.1,-1.7,0.5,0.6
Josh Hart,6,25,NOP,28,2,28.0,3.1,7.0,0.451,1.4,4.1,0.348,1.7,2.9,0.6,0.5539999999999999,1.1,1.6,0.711,1.0,6.4,7.5,2.1,0.8,0.2,0.8,2.2,8.9,12.5,0.5770000000000001,0.59,0.231,4.1,25.5,14.8,10.0,1.4,0.7,9.7,12.9,1.1,0.6,1.6,0.099,-0.8,0.0,-0.8,0.2
Gordon Hayward,6,30,CHO,26,26,35.5,8.1,16.6,0.486,2.2,5.2,0.42200000000000004,5.9,11.4,0.515,0.552,3.9,4.5,0.8640000000000001,0.9,4.5,5.5,3.8,1.1,0.4,2.1,1.9,22.3,18.7,0.598,0.313,0.273,2.7,13.9,8.2,17.5,1.5,1.2,10.2,24.9,1.7,0.8,2.5,0.132,2.6,-0.8,1.8,0.9
Rodney Hood,6,28,POR,23,5,19.0,2.1,5.7,0.366,0.6,2.0,0.298,1.5,3.7,0.405,0.42,0.2,0.3,0.667,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5.0,5.0,0.42700000000000005,0.359,0.046,0.9,8.9,4.8,8.7,1.7,0.4,11.9,14.9,-0.6,0.1,-0.4,-0.047,-6.3,-1.7,-8.0,-0.7
Danuel House,6,27,HOU,17,7,27.9,3.1,8.2,0.374,1.4,4.9,0.28600000000000003,1.6,3.2,0.509,0.46,1.4,1.8,0.767,0.6,3.1,3.6,2.1,0.8,0.5,0.9,1.8,8.9,8.9,0.496,0.604,0.21600000000000003,2.2,11.7,6.9,10.7,1.3,1.6,9.5,15.1,0.0,0.6,0.5,0.052000000000000005,-2.9,-0.2,-3.1,-0.1
